date,sales,is_promo
2025-03-30,93,False
2025-03-31,40,False
2025-04-01,40,False
2025-04-02,67,False
2025-04-03,58,False
2025-04-04,51,False
2025-04-05,84,False
2025-04-06,68,False
2025-04-07,59,False
2025-04-08,49,False
2025-04-09,48,False
2025-04-10,59,False
2025-04-11,79,False
2025-04-12,50,False
2025-04-13,87,True
2025-04-14,65,False
2025-04-15,68,False
2025-04-16,54,False
2025-04-17,73,False
2025-04-18,81,False
2025-04-19,72,False
2025-04-20,71,False
2025-04-21,71,False
2025-04-22,49,False
2025-04-23,69,False
2025-04-24,71,False
2025-04-25,65,False
2025-04-26,47,False
2025-04-27,64,False
2025-04-28,87,True
2025-04-29,70,False
2025-04-30,32,False
2025-05-01,42,False
2025-05-02,106,True
2025-05-03,43,False
2025-05-04,74,False
2025-05-05,44,False
2025-05-06,77,False
2025-05-07,81,False
2025-05-08,50,False
2025-05-09,61,False
2025-05-10,52,False
2025-05-11,55,False
2025-05-12,68,False
2025-05-13,84,True
2025-05-14,92,True
2025-05-15,59,False
2025-05-16,54,False
2025-05-17,67,False
2025-05-18,52,False
2025-05-19,63,False
2025-05-20,74,False
2025-05-21,73,False
2025-05-22,93,True
2025-05-23,129,True
2025-05-24,66,False
2025-05-25,75,False
2025-05-26,81,False
2025-05-27,66,False
2025-05-28,108,True
2025-05-29,53,False
2025-05-30,55,False
2025-05-31,59,False
2025-06-01,61,False
2025-06-02,79,True
2025-06-03,55,False
2025-06-04,60,False
2025-06-05,52,False
2025-06-06,53,False
2025-06-07,54,False
2025-06-08,44,False
2025-06-09,73,False
2025-06-10,64,False
2025-06-11,60,False
2025-06-12,60,False
2025-06-13,48,False
2025-06-14,56,False
2025-06-15,47,False
2025-06-16,77,False
2025-06-17,46,False
2025-06-18,79,False
2025-06-19,96,True
2025-06-20,65,False
2025-06-21,73,False
2025-06-22,67,False
2025-06-23,56,False
2025-06-24,78,False
2025-06-25,56,False
2025-06-26,79,False
2025-06-27,80,False
2025-06-28,72,False
2025-06-29,48,False
2025-06-30,51,False
2025-07-01,49,False
2025-07-02,47,False
2025-07-03,51,False
2025-07-04,66,False
2025-07-05,74,False
2025-07-06,47,False
2025-07-07,61,False
2025-07-08,58,False
2025-07-09,72,False
2025-07-10,48,False
2025-07-11,54,False
2025-07-12,66,False
2025-07-13,65,True
2025-07-14,96,True
2025-07-15,45,False
2025-07-16,55,False
2025-07-17,67,False
2025-07-18,66,False
2025-07-19,73,False
2025-07-20,80,False
2025-07-21,66,False
2025-07-22,81,False
2025-07-23,84,False
2025-07-24,67,False
2025-07-25,91,False
2025-07-26,121,True
2025-07-27,83,False
2025-07-28,86,False
2025-07-29,51,False
2025-07-30,45,False
2025-07-31,57,False
2025-08-01,36,False
2025-08-02,66,False
2025-08-03,111,True
2025-08-04,50,False
2025-08-05,48,False
2025-08-06,51,False
2025-08-07,65,False
2025-08-08,49,False
2025-08-09,66,False
2025-08-10,81,True
2025-08-11,44,False
2025-08-12,79,True
2025-08-13,81,True
2025-08-14,60,False
2025-08-15,91,False
2025-08-16,64,False
2025-08-17,62,False
2025-08-18,68,False
2025-08-19,86,False
2025-08-20,61,False
2025-08-21,67,False
2025-08-22,67,False
2025-08-23,59,False
2025-08-24,59,False
2025-08-25,64,False
2025-08-26,90,False
2025-08-27,76,False
2025-08-28,105,True
2025-08-29,56,False
2025-08-30,46,False
2025-08-31,49,False
2025-09-01,47,False
2025-09-02,74,False
2025-09-03,58,False
2025-09-04,51,False
2025-09-05,61,False
2025-09-06,57,False
2025-09-07,55,True
2025-09-08,56,False
2025-09-09,58,False
2025-09-10,60,False
2025-09-11,77,False
2025-09-12,52,False
2025-09-13,72,False
2025-09-14,67,False
2025-09-15,89,True
2025-09-16,71,False
2025-09-17,65,False
2025-09-18,112,True
2025-09-19,72,False
2025-09-20,68,False
2025-09-21,52,False
2025-09-22,67,False
2025-09-23,59,False
2025-09-24,50,False
2025-09-25,67,False
